[WM_KEYUP Delay] Key: 68, Delay: 78.000 ms, Max: 78.000 ms, Avg: 78.000 ms, Count: 1
[WM_KEYUP Delay] Key: 65, Delay: 32.000 ms, Max: 78.000 ms, Avg: 32.447 ms, Count: 38
[WM_KEYUP Delay] Key: 68, Delay: 31.000 ms, Max: 78.000 ms, Avg: 32.410 ms, Count: 39
[WM_KEYUP Delay] Key: 87, Delay: 31.000 ms, Max: 78.000 ms, Avg: 32.375 ms, Count: 40
[WM_KEYUP Delay] Key: 83, Delay: 32.000 ms, Max: 78.000 ms, Avg: 32.366 ms, Count: 41
[WM_KEYUP Delay] Key: 83, Delay: 31.000 ms, Max: 78.000 ms, Avg: 32.333 ms, Count: 42
[WM_KEYUP Delay] Key: 87, Delay: 16.000 ms, Max: 78.000 ms, Avg: 31.953 ms, Count: 43
[WM_KEYUP Delay] Key: 65, Delay: 16.000 ms, Max: 78.000 ms, Avg: 31.591 ms, Count: 44
[WM_KEYUP Delay] Key: 68, Delay: 31.000 ms, Max: 78.000 ms, Avg: 31.578 ms, Count: 45
[WM_KEYUP Delay] Key: 65, Delay: 47.000 ms, Max: 78.000 ms, Avg: 31.913 ms, Count: 46
[WM_KEYUP Delay] Key: 83, Delay: 15.000 ms, Max: 78.000 ms, Avg: 31.553 ms, Count: 47
[WM_KEYUP Delay] Key: 68, Delay: 31.000 ms, Max: 78.000 ms, Avg: 31.542 ms, Count: 48
